user_id,user_type,date,category,amount,payment
Harper Hall,Freelancer,2026-04-27 12:26:03.175109,Travel,-4592.29,Cash
Aarav Sharma,Freelancer,2026-04-16 12:26:03.175174,Entertainment,-796.1,UPI
Isabella Anderson,Freelancer,2026-04-02 12:26:03.175217,Food,-473.36,Card
Benjamin Clark,Freelancer,2026-01-18 12:26:03.175234,Travel,-6262.91,Cash
Benjamin Clark,Freelancer,2026-05-11 12:26:03.175249,Travel,-2967.44,UPI
Sophia Brown,Freelancer,2026-04-28 12:26:03.175263,Income,7862.82,Cash
Harper Hall,Freelancer,2026-05-17 12:26:03.175277,Entertainment,-6131.08,UPI
Ethan Taylor,Freelancer,2026-03-06 12:26:03.175291,Entertainment,-2504.07,UPI
James Thomas,Freelancer,2026-03-11 12:26:03.175304,Income,749.67,Card
Alexander Lee,Freelancer,2026-05-04 12:26:03.175318,Bills,-5130.15,UPI
Henry King,Freelancer,2026-03-25 12:26:03.175331,Travel,-2386.96,Cash
Sophia Brown,Freelancer,2026-03-06 12:26:03.175344,Entertainment,-4561.01,UPI
Emma Wilson,Freelancer,2026-04-23 12:26:03.175357,Food,-1493.84,UPI
Harper Hall,Freelancer,2026-02-21 12:26:03.175377,Bills,-5000.95,Card
Matthew Allen,Freelancer,2026-02-28 12:26:03.175390,Bills,-7867.25,Cash
Ethan Taylor,Freelancer,2026-03-31 12:26:03.175404,Food,-4265.02,UPI
Noah Davis,Freelancer,2026-04-26 12:26:03.175417,Entertainment,-6910.59,UPI
Emma Wilson,Freelancer,2026-03-22 12:26:03.175430,Food,-7746.55,Card
Emma Wilson,Freelancer,2026-04-06 12:26:03.175448,Bills,-1541.44,Cash
Aarav Sharma,Freelancer,2026-04-11 12:26:03.175462,Entertainment,-2227.4,Card
Henry King,Freelancer,2026-03-09 12:26:03.175478,Travel,-446.69,UPI
Charlotte Harris,Freelancer,2026-03-14 12:26:03.175494,Entertainment,-3208.83,Cash
Noah Davis,Freelancer,2026-01-26 12:26:03.175508,Entertainment,-654.82,UPI
Daniel Walker,Freelancer,2026-04-16 12:26:03.175521,Shopping,-5537.12,Cash
Mia White,Freelancer,2026-03-03 12:26:03.175536,Entertainment,-2426.16,Cash
